2018-09-20 18:16:34.716 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyGroup
2018-09-20 18:16:34.717 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyGroup#verifyOrganizationNames
2018-09-20 18:16:34.750 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyGroup#verifyOrganizationNames in 33 ms
2018-09-20 18:16:34.751 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyGroup#verifySites
2018-09-20 18:16:34.756 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyGroup#verifySites in 5 ms
2018-09-20 18:16:34.757 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyGroup#verifyStagedGroups
2018-09-20 18:16:34.851 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyGroup#verifyStagedGroups in 94 ms
2018-09-20 18:16:34.851 INFO  [main][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyGroup#verifyTree
2018-09-20 18:16:34.852 INFO  [main][LoggingTimer:43] Completed com.liferay.portal.verify.VerifyGroup#verifyTree in 1 ms
2018-09-20 18:16:34.852 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyGroup in 136ms
2018-09-20 18:16:34.853 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyRole
2018-09-20 18:16:34.854 INFO  [main][VerifyProcess:81] Completed verification process com.liferay.portal.verify.VerifyRole in 1ms
2018-09-20 18:16:34.856 INFO  [main][VerifyProcess:66] Verifying com.liferay.portal.verify.VerifyAuditedModel
2018-09-20 18:16:34.860 INFO  [pool-6-thread-1][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#LayoutFriendlyURL
2018-09-20 18:16:34.861 INFO  [pool-6-thread-3][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#LayoutSetPrototype
2018-09-20 18:16:34.860 INFO  [pool-6-thread-2][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#LayoutPrototype
2018-09-20 18:16:34.865 INFO  [pool-6-thread-6][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#RepositoryEntry
2018-09-20 18:16:34.865 INFO  [pool-6-thread-8][LoggingTimer:83] Starting com.liferay.portal.verify.VerifyAuditedModel#verifyAuditedModel#UserGroup
